            Variable                     Coef                 Gradient                     s.e.
BC_COffDi24            6.3805458568262352E-01   8.3430771020907655E-03   1.3985086556786975E-02
BC_COffDi25            1.8536233597759804E+00  -6.1107840589772304E-02   8.2940008958458031E-03
BC_COffDi26            8.6676059899362190E-01  -1.8212013896032185E-02   3.6400325278355787E-02
BC_COffDi27            2.1093990309830923E+00  -7.6996101638797144E-03   7.0383634205582524E-02
BC_COffDi28            2.2093690718569383E+00  -8.0229609916333943E-03   6.8390360625684363E-02
BC_COffDi29            2.8274333882308147E+00  -4.4253299101995457E-02   9.6622235146566569E-03
BC_COffDi30            2.7798009687491310E+00   5.6168083915215453E-02   3.9908980141012719E-03
BC_COffDi31            4.4927634235744862E-01  -1.0370473318647780E-03   2.4916634927258485E-02
BC_COffDi32            4.5575514972710723E-01   3.7054765688435951E-03   5.0883482117557534E-02
BC_COffDi33            2.8018468848879818E+00  -5.3738803594043587E-02   3.0486053120177751E-03
BC_COffDi34            2.7840821919140581E+00   3.0227584218314302E-02   4.9598542870732147E-03
BC_COffDi35            2.6117305444645003E+00   4.1669530869159976E-02   9.3869911360891910E-03
BC_COffDi36            1.2164928659652094E+00   2.0314492361615813E-01   3.1291077981583332E-03
BC_COffDi37            2.6457742855269553E+00  -1.7485601118545736E-02   5.8946399791453162E-03
BC_COffDi38            4.5249882681740999E-01  -2.3420268991660784E-04   1.0507873374428393E-01
BC_COffDi39            1.4653729137008134E+00  -1.2096587842030586E-03   8.6340020876130796E-02
BC_COffDi40            4.7032185396626591E-01  -1.9741461786878517E-04   1.1382056567957405E-01
BC_COffDi41            2.6728397410014870E+00   8.5586881750590788E-02   9.0906274775337526E-03
BC_COffDi42            4.5057140441395532E-01   8.1726061424834988E-04   1.2136178498848277E-01
BC_COffDi43            2.4603293111084268E+00   1.7091933914240468E-02   4.0946313738835595E-02
BC_COffDi44            2.5859174590970895E+00   9.3864936029474375E-04   9.3121423291460337E-02
BC_COffDi45            2.7358330900245291E+00   6.2152491324449677E-04   1.0705155294725570E-01
BC_COffDi46            2.7973873958136610E+00  -5.3786023031056819E-02   8.3658405725603423E-03
BC_COffDi47            1.5747282603243964E+00  -5.5222124664508184E-03   2.5377719210723289E-02
BC_COffDi48            3.5856558920736861E+00  -1.1007230447707681E-02   1.4290964213542775E-02
BC_COffDi49            1.5908010431128312E+00  -4.3838603538122529E-02   1.3995511224880160E-02
BC_COffDi50            2.1471408018004383E+00   7.9849793020655910E-03   5.4798244465003179E-03
BC_COffDi51            2.4939716963513119E+00   1.4674694062770112E-02   6.3806248329308585E-03
BC_COffDi52            6.6975250040392242E-01  -2.0052328832207231E-02   8.7103726372341293E-03
BC_COffDi53            7.0322790535681934E-01   2.7993288413468872E-02   5.5673336376928662E-03
BC_COffDi54            5.8329640474119759E-01  -2.6745520964742173E-02   9.3387889707304550E-03
BC_COffDi55            5.5326070154734308E-01  -3.1202434415600368E-02   5.6127893381386551E-03
BC_COffDi56            2.6722187261254948E+00   9.9486094776869553E-04   2.0081475176853155E-02
BC_COffDi57            1.5677186034908970E+00   6.1606798062843566E-03   4.7947436709472819E-03
BC_COffDi58            2.7224369703703308E+00  -2.6030980683003628E-02   9.7114366772369752E-03
BC_COffDi59            5.9080177096754816E-01  -2.3745835013454105E-03   5.2058175200280221E-02
BC_COffDi60            2.5838023907979313E+00  -6.9431231191172211E-03   9.1194217447283076E-03
BC_COffDi61            1.0336478290426259E+00   1.1120590612689941E-03   1.8748829712045986E-01
BC_COffDi62            2.7960913260697229E+00  -3.0585419789448199E-03   8.5138573655074073E-02
BC_COffDi63            1.6806779757707446E+00  -8.1051779412785550E-03   2.8676237499999795E-02
BC_COffDi64            1.3435621868458474E+00  -1.0772552307002093E-02   3.2850632020762674E-02
BC_COffDi65            4.5210362475787258E-01  -3.1544842762007822E-03   6.9012532086820941E-02
BC_COffDi66            8.5814771688482472E-01  -1.3207857041983237E-04   2.9400768720126635E-01
BC_COffDi67            3.1415926535897981E-01   1.0798714090432897E-03   1.1945942096822090E-01
BC_COffDi68            6.9293001270172627E-01   5.6408087017096051E-03   3.2451931526279859E-01
BC_COffDi69            8.5804927653063956E-01  -1.3190454067524697E-04   2.1595300925951258E-01
BC_COffDi70            1.3924578976064637E+00  -4.6314005287911207E-02   6.5979414699358823E-03
BC_COffDi71            4.5894333709649543E-01  -1.2930268474528642E-03   2.0472532643650534E-02
