           Var. Name                       x0                        x                 Gradient
         BC_beta(44)       0.295449567915D+01       0.295449567915D+01       0.391259524612D-03
         BC_beta(45)       0.356299918200D+01       0.356299918200D+01      -0.777139220180D-04
         BC_beta(46)       0.418063220838D+01       0.418063220838D+01       0.413671630858D-04
         BC_beta(47)       0.809445851267D+00       0.809445851267D+00       0.440212281328D-02
         BC_beta(48)       0.938483971066D+00       0.938483971066D+00       0.717235582792D-02
         BC_beta(49)       0.784025204605D+00       0.784025204605D+00      -0.197188636612D-01
         BC_beta(50)       0.111501243499D+00       0.111501243499D+00      -0.150438327012D-01
         BC_beta(51)       0.270413396868D+01       0.270413396868D+01       0.632019611754D-02
         BC_beta(52)       0.177345756063D+01       0.177345756063D+01      -0.758354752449D+00
         BC_beta(53)       0.816609444143D+00       0.816609444143D+00      -0.618025390310D+00
         BC_beta(54)       0.494483341583D+00       0.494483341583D+00      -0.742553148654D+01
         BC_beta(55)      -0.203057013043D+00      -0.203057013043D+00       0.317422693211D-03
         BC_beta(56)       0.541135919722D+00       0.541135919722D+00      -0.395829374791D-01
         BC_beta(57)       0.228941592908D-01       0.228941592908D-01       0.968317300293D-02
         BC_beta(58)       0.119274006561D+00       0.119274006561D+00      -0.415129269082D-01
         BC_beta(59)       0.192840508493D+01       0.192840508493D+01       0.476080928600D-01
         BC_beta(60)       0.295457333364D+01       0.295457333364D+01      -0.519331546001D-02
         BC_beta(61)       0.754669349264D+00       0.754669349264D+00      -0.253937423052D+00
         BC_beta(62)       0.729703094957D+00       0.729703094957D+00      -0.919995358595D-01
         BC_beta(63)       0.318887255632D+01       0.318887255632D+01       0.122047197555D-03
         BC_beta(64)      -0.942207386441D+00      -0.942207386441D+00       0.283993156713D-02
         BC_beta(65)       0.158180903979D+01       0.158180903979D+01       0.915794808630D-04
         BC_beta(66)       0.442858574199D+01       0.442858574199D+01      -0.235019319459D-05
         BC_beta(67)       0.166752436414D+01       0.166752436414D+01      -0.193625858897D-01
         BC_beta(68)       0.303475349644D+01       0.303475349644D+01      -0.399737912270D-03
         BC_beta(69)       0.301656700042D+01       0.301656700042D+01      -0.828108517625D-03
         BC_beta(70)       0.365896466996D+01       0.365896466996D+01      -0.444803952483D-04
         BC_beta(71)       0.581506143996D+00       0.581506143996D+00       0.180300472683D-01
         BC_beta(72)      -0.210650410543D+01      -0.210650410543D+01      -0.410257360877D-02
         BC_beta(73)      -0.104161933442D+01      -0.104161933442D+01       0.102545643377D-01
         BC_beta(74)       0.368944456387D+00       0.368944456387D+00      -0.395087904530D-01
         BC_beta(75)      -0.771946217281D+00      -0.771946217281D+00       0.118602114695D+00
         BC_beta(76)       0.258430413261D+01       0.258430413261D+01      -0.492059667301D-01
         BC_beta(77)       0.149806245197D+01       0.149806245197D+01      -0.853104933470D-01
         BC_beta(78)       0.128992741406D+01       0.128992741406D+01      -0.273208922051D-01
         BC_beta(79)      -0.761254544665D+00      -0.761254544665D+00       0.129465196129D-01
         BC_beta(80)      -0.902468499495D+00      -0.902468499495D+00       0.145748631049D-02
         BC_beta(81)       0.414661002291D+01       0.414661002291D+01       0.148871740681D-04
         BC_beta(82)      -0.272429934695D+00      -0.272429934695D+00      -0.306093999179D-01
         BC_beta(83)      -0.125455425390D+01      -0.125455425390D+01       0.539072738163D-01
         BC_beta(84)       0.598468459857D+00       0.598468459857D+00       0.763290479813D-02
         BC_beta(85)       0.168996298586D+00       0.168996298586D+00       0.419272424820D-01
         BC_beta(86)      -0.328319135366D-01      -0.328319135366D-01       0.887853473231D-01
         BC_beta(87)       0.805365921013D+00       0.805365921013D+00       0.636182907492D-01
         BC_beta(88)      -0.155000266694D+01      -0.155000266694D+01      -0.143553092074D-01
         BC_beta(89)       0.898077799680D+00       0.898077799680D+00      -0.112411890237D-02
         BC_beta(90)      -0.261658612101D+01      -0.261658612101D+01      -0.236539657958D-01
         BC_beta(91)       0.223048358833D+01       0.223048358833D+01      -0.585320977573D-02
         BC_beta(92)       0.148660019765D+01       0.148660019765D+01       0.858725345164D-03
         BC_beta(93)       0.257739500416D+01       0.257739500416D+01      -0.216840578628D-02
         BC_beta(94)       0.747207024309D+00       0.747207024309D+00      -0.166592903943D-01
         BC_beta(95)       0.139909861909D+01       0.139909861909D+01      -0.254930281153D-02
         BC_beta(96)      -0.248339209842D+00      -0.248339209842D+00      -0.146754339581D-01
         BC_beta(97)       0.196680291219D+01       0.196680291219D+01       0.399647592713D-02
