            Variable                     Coef                 Gradient                     s.e.
BC_COffDi49            2.8272483176878982E+00   1.8759337808951709E-01   3.6301112575141867E-03
BC_COffDi50            1.1317763137119061E+00  -7.7493834868950506E-03   1.0630548409170723E-02
BC_COffDi51            1.2339930208903689E+00  -3.2487349925988993E-02   6.4720370635435592E-03
BC_COffDi52            1.6490122193470436E+00   3.5988613166815224E-02   7.7147169768758527E-03
BC_COffDi53            2.6415286637518336E+00  -1.5232907713207433E-01   3.8616522983396027E-03
BC_COffDi54            7.3240750129773369E-01   1.4355217798104891E-02   1.0232332781145825E-02
BC_COffDi55            1.1756493921653968E+00  -3.1794056749266403E-01   3.6882997226261611E-03
BC_COffDi56            4.4275141857870881E-01   1.8767218124942464E-01   4.2235474503911855E-03
BC_COffDi57            2.6082150975359553E+00   2.3539892156384282E-01   2.6225092543100321E-03
BC_COffDi58            1.6824932351582143E+00  -2.1254878366806840E-02   8.6710760346543642E-03
BC_COffDi59            2.1325913944992552E+00  -1.4384644000795790E-03   2.6187846842359842E-02
BC_COffDi60            1.4107107844097448E+00  -5.6605607853339623E-02   5.3947000376185364E-03
BC_COffDi61            8.5372676807610071E-01   1.5849649909123353E-01   1.6987526648471936E-03
BC_COffDi62            2.8272915135276273E+00   1.9980767560906836E-07   2.0955960021862338E+03
BC_COffDi63            2.8272229447072990E+00   4.6095320974356813E-02   1.1868980757430340E-02
BC_COffDi64            2.0779741444409923E+00   3.5468492580193133E-03   1.1876309691293858E+00
BC_COffDi65            5.9683135114666435E+00   1.5684831644787456E-07   1.0974268785212257E+03
BC_COffDi66            2.8267211312563805E+00   3.9183127833852328E-06   3.8747479984801195E+01
BC_COffDi67            2.8272915113071919E+00  -1.6390147537369612E-07   6.4552061074404737E+03
BC_COffDi68            2.3759135923116292E+00  -1.9088388164599681E-06   6.8375216975888834E+03
BC_COffDi69            2.8267208577324068E+00  -8.2274634236103439E-09   1.3701881182471294E+04
BC_COffDi70            1.8588060782286182E+00  -1.2158043553248519E-02   1.2825219205217463E-02
BC_COffDi71            2.8272911814814008E+00   2.8465382600254708E-02   6.1526912139618266E-03
BC_COffDi72            2.8274295610859199E+00   1.4718402185162157E-02   6.8933388090027603E-03
BC_COffDi73            2.8273811963065829E+00  -8.6832713069280587E-03   6.0395819167621623E-03
BC_COffDi74            2.8271642999378575E+00   5.2690219129424523E-02   5.5048386945100204E-03
BC_COffDi75            2.6329342808113383E+00  -6.8736832666046327E-03   1.0636486694644174E-02
BC_COffDi76            2.6882383826329250E+00  -7.6002427231733019E-02   3.7083673727630545E-03
BC_COffDi77            4.7786242516673699E-01   1.3961690213779018E-01   1.9753481583776448E-03
BC_COffDi78            1.4900586633549449E+00   2.2309394916977952E-02   5.1579647195713211E-03
BC_COffDi79            2.0541692956107145E+00   2.5346472775008077E-02   6.5579869136083756E-03
BC_COffDi80            2.8272907738242896E+00  -2.7871060803573454E-05   4.5279746340117183E-01
BC_COffDi81            2.8250681331851957E+00  -9.8903877822863376E-02   5.7665990666012088E-03
BC_COffDi82            7.5735914293215389E-01   5.1745800966082979E-02   4.9536615049215740E-03
BC_COffDi83            1.9623284765539921E+00   3.9041068789684413E-02   4.7789782861551418E-03
BC_COffDi84            1.0481429140534431E+00   3.6887894656993533E-02   4.4661772071962020E-03
BC_COffDi85            2.4391731248759432E+00  -4.9046430541120056E+00   1.2205355939584584E-03
BC_COffDi86            2.8272897590932939E+00  -1.1278774490874718E-04   2.7210879937392279E-01
BC_COffDi87            2.8274158994856009E+00  -5.6866249562469162E-03   1.2524150266032312E-02
BC_COffDi88            1.9838266618739449E+00  -1.0588966265663803E-02   3.0883998273537278E-01
BC_COffDi89            2.8272184134925697E+00   1.2173688087340276E-02   9.7989787634589105E-03
