           Var. Name                       x0                        x                 Gradient
         BC_beta(57)      -0.186897114898D-01      -0.164707507776D-01      -0.388793887628D-01
         BC_beta(58)      -0.392040199689D-01      -0.377689730002D-01      -0.118823959569D-01
         BC_beta(59)       0.217995424488D+01       0.217969460365D+01      -0.102748295382D-01
         BC_beta(60)       0.420471868068D+01       0.420466496084D+01      -0.565999674191D-02
         BC_beta(61)       0.104213476184D+01       0.106052609361D+01      -0.315085438813D-01
         BC_beta(62)       0.857096028992D+00       0.876732907080D+00      -0.710198187750D-01
         BC_beta(63)       0.499877416495D+01       0.499872763185D+01       0.526771742774D-03
         BC_beta(64)      -0.206424388220D+00      -0.205349489881D+00       0.861501601414D-02
         BC_beta(65)       0.358355606132D+01       0.358349227128D+01       0.948324132257D-03
         BC_beta(66)       0.400160231035D+01       0.400154647528D+01       0.648103398092D-03
         BC_beta(67)       0.366924101189D+01       0.366918231488D+01       0.654068977246D-03
         BC_beta(68)       0.499877413358D+01       0.499872760033D+01       0.526998664778D-03
         BC_beta(69)       0.499877410904D+01       0.499872757451D+01       0.528239247616D-03
         BC_beta(70)       0.468147039323D+01       0.468166251910D+01       0.557557503622D-03
         BC_beta(71)       0.859599579579D+00       0.860287391275D+00       0.166930237254D-02
         BC_beta(72)      -0.422506654710D+00      -0.421612643468D+00       0.706683831198D-01
         BC_beta(73)       0.930934385880D-01       0.943252418219D-01       0.493986694850D-02
         BC_beta(74)       0.292787032900D+00       0.293755527465D+00       0.313707247830D-01
         BC_beta(75)       0.133897180581D+00       0.153426019883D+00      -0.310104360355D-01
         BC_beta(76)       0.264254409683D+01       0.265428819095D+01       0.132854967700D-01
         BC_beta(77)       0.808436938178D+00       0.827675598408D+00      -0.672305513117D-01
         BC_beta(78)       0.256507899940D+00       0.257743703409D+00      -0.663550998409D+01
         BC_beta(79)      -0.158615587401D+00      -0.155471739284D+00      -0.116502375728D+01
         BC_beta(80)      -0.714798728654D+00      -0.713562981023D+00       0.312928825317D+00
         BC_beta(81)       0.400160575645D+01       0.400155010172D+01       0.454263454842D-03
         BC_beta(82)       0.284945075681D-01       0.328945593419D-01      -0.132641212416D+01
         BC_beta(83)      -0.133740000835D+01      -0.133711452021D+01       0.205290493939D+00
         BC_beta(84)       0.666804227910D+00       0.667670952915D+00      -0.501192053841D-02
         BC_beta(85)       0.250842671634D+00       0.251865607822D+00       0.865691835884D-01
         BC_beta(86)      -0.410355946739D-01      -0.384555390119D-01      -0.282543401938D-01
         BC_beta(87)       0.330701164383D+01       0.330694893937D+01      -0.590577150279D-03
         BC_beta(88)      -0.211589724248D+01      -0.211593346025D+01      -0.263296874536D+00
         BC_beta(89)       0.290012448277D+01       0.290005417713D+01       0.798956668396D-03
         BC_beta(90)      -0.236451729675D+01      -0.236460283135D+01       0.159714627241D-02
         BC_beta(91)       0.423199777606D+01       0.423194424758D+01       0.734924982314D-03
         BC_beta(92)       0.248879402589D+01       0.248871508598D+01       0.133655535643D-02
         BC_beta(93)       0.407888378272D+01       0.407882878814D+01       0.652024674607D-03
         BC_beta(94)       0.226167497636D+01       0.226161485455D+01       0.107443084365D-01
         BC_beta(95)       0.340092059960D+01       0.340085785580D+01       0.108324151277D-02
